Data_Venda,Canal_de_Venda,Local_de_Venda,PAX,Monetario_Vendido,RPK
11/1/2016,Telegrafo,Mindscape,30,"2,188.11",3476
11/1/2016,TeleVenda,Arena,52,"3,302.38",8197
11/1/2016,TeleVenda,Mindscape,19,"1,041.54",2425
11/1/2016,Porta a Porta,Mindscape,496,"15,566.34",53278
11/1/2016,TeleVenda,Vast,46,"2,721.43",2039
11/1/2016,TeleVenda,Arena,485,"19,002.65",66096
11/1/2016,TeleVenda,Vast,701,"11,588.27",30866
11/1/2016,Telegrafo,Arena,39,"3,538.39",5471
11/1/2016,TeleVenda,Ellipsis,44,"2,277.59",2788
11/1/2016,Porta a Porta,Vast,910,"14,451.80",40112
11/1/2016,Telegrafo,Ellipsis,18,"1,187.12",1127
11/1/2016,TeleVenda,Mindscape,425,"12,875.54",48274
11/1/2016,Porta a Porta,Ellipsis,383,"9,065.62",20355
11/1/2016,Telegrafo,Vast,47,"3,244.38",2055
11/1/2016,TeleVenda,Ellipsis,406,"9,846.59",22846
11/1/2016,Porta a Porta,Arena,437,"18,994.87",58074
11/2/2016,TeleVenda,Ellipsis,1007,"29,177.23",54696
11/2/2016,Porta a Porta,Arena,900,"42,869.44",119470
11/2/2016,TeleVenda,Mindscape,1029,"39,705.82",122484
11/2/2016,TeleVenda,Arena,166,"11,210.85",25105
11/2/2016,Porta a Porta,Vast,1451,"28,139.79",63743
11/2/2016,Telegrafo,Vast,70,"4,766.68",3312
11/2/2016,Porta a Porta,Ellipsis,757,"20,897.44",41533
11/2/2016,Telegrafo,Ellipsis,65,"4,097.49",3679
11/2/2016,TeleVenda,Arena,1397,"60,879.21",194489
11/2/2016,Telegrafo,Mindscape,79,"7,312.08",10169
11/2/2016,TeleVenda,Vast,178,"10,462.44",8409
11/2/2016,Telegrafo,Arena,105,"7,222.10",14970
11/2/2016,TeleVenda,Ellipsis,147,"9,058.08",9326
11/2/2016,Porta a Porta,Mindscape,778,"28,082.07",87943
11/2/2016,TeleVenda,Vast,1526,"34,605.49",68615
